"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku"
"63","Elegance Plain Aluminium Pressure Cooker","Pressure Cooker","","Premium virgin aluminium, extra heavy gauge. Rust-free SS vent, heat-resistant bakelite handles, safety valve, and curved body for easy stirring.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,"Aluminium",,,,,,,
"64","Elegance Handi Aluminium Pressure Cooker","Pressure Cooker","","Handi shape for traditional Indian cooking, with the same high standards of safety and durability as other Ojas cookers.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,"Aluminium",,,,,,,
"65","Elegance Contura Aluminium Pressure Cooker","Pressure Cooker","","Contura body for convenient stirring. Virgin aluminium, heavy gauge, secure handles and safety features.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,"Aluminium",,,,,,,
"66","Hard Anodised Pressure Cooker","Pressure Cooker","","Hard anodized finish for extra durability and corrosion resistance. Standard Ojas safety and handling features.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,"Hard Anodized Aluminium",,,,,,,
"67","Stainless Steel Pressure Cooker","Pressure Cooker","","Rust-proof, elegant stainless steel body. Equipped with all standard Ojas safety and durability features.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,"Stainless Steel",,,,,,,
"68","Hospital Gloves","Safety Equipment","",,,,"true",2025-07-27T08:20:25.667Z,2025-07-27T08:20:25.667Z,,,,,,,,,,
"69","Sewing Kit","Sewing Kit","","Practical and compact sewing kit ideal for hotel guests. Contains all basic sewing essentials for minor repairs.",,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,"Lightweight and travel-friendly, Basic essentials for emergencies, Custom branding possible",,,,,,
"70","Shaving Razor","Shaving Kits & Razors","",,,,"true",2025-07-27T08:20:25.675Z,2025-07-27T08:20:25.675Z,,,,,,,,,,
"71","Shaving Kit Pouch","Shaving Kits & Razors","",,,,"true",2025-07-27T08:20:25.675Z,2025-07-27T08:20:25.675Z,,,,,,,,,,
"72","Shaving Kit Box","Shaving Kits & Razors","",,,,"true",2025-07-27T08:20:25.675Z,2025-07-27T08:20:25.675Z,,,,,,,,,,
"73","Shaving Gel","Shaving Kits & Razors","",,,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,,,,,,,
"74","Shaving Kit with Pouch","Shaving Kits & Razors","",,,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,,,,,,,
"75","Shaving Kit with Box","Shaving Kits & Razors","",,,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,,,,,,,
"76","Wax Shoes Shiner","Shoes Shiner","",,,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,,,,,,,
"77","Premium Disposable Bouffant Cap (Green)","Shower Caps","",,,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,"Non-woven","Elastic band, Hygienic hair protection, Bulk pack of 100 pcs",,,,"Green",,
"78","Premium Disposable Bouffant Cap (White)","Shower Caps","",,,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,"Non-woven","Elastic band, Hygienic hair protection, Bulk pack of 100 pcs",,,,"White",,
"79","Shower Cap","Shower Caps","","Disposable shower cap available in green, blue and white color options. Waterproof, elastic, individually packed.",,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,"Elastic band for secure fit, One size fits all, Hygienic and waterproof, Great for hotels, salons, spas",,,,,,
"80","Thomos Kettle","Thermoware","","Insulated kettle for hot and cold liquids.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,,,,,,,,
"81","Tiffin Capsule","Thermoware","","Compact, insulated lunch carriers (capsule form) for daily use.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,,,,,,,,
"82","Tiffin Tablet","Thermoware","","Tablet-style insulated lunch boxes for convenient transport.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,,,,,,,,
"83","Lite","Thermoware","","Simple, lightweight thermoware series.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,,,,,,,,
"84","Casserole","Thermoware","","Insulated casseroles for keeping food hot or cold.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,,,,,,,,
"85","Travel Jug","Thermoware","","Large capacity portable jugs with insulation for picnics or travel.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,,,,,,,,
"86","Toilet Seat WC Band","Toilet Seat WC Band","","Ensures hygiene and cleanliness for hotels, hospitals, and premium establishments. Used as a seal of sanitation, assures guests that the toilet seat has been freshly cleaned and disinfected.",,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,"Acts as a seal of sanitation for toilets, Made from durable, eco-friendly material, Easily fits around standard toilet seats, Disposable after use",,,,,,
"87","Bati Bartan","Traditional Cookware","","Traditional Indian vessel, used for making bati or serving dal-bati; details on sizes on request.",,,"true",2025-07-27T08:20:25.666Z,2025-07-27T08:20:25.666Z,,,,,,,,,,
"88","Sovereign","Uncategorized","",,,,"true",2025-07-27T08:20:25.648Z,2025-07-27T08:20:25.648Z,,,,,,,,,"M-101",
"89","Zenith","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-102",
"90","Eclipse","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-103",
"91","Titan","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-104",
"92","Nova","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-105",
"93","Summit","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-106",
"94","Stellar","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-107",
"95","Apex","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-108",
"96","Quantum","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-109",
"97","Quantum","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-110",
"98","Quantum","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-111",
"99","Horizon","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-112",
"100","Horizon","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-113",
"101","Horizon","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-114",
"102","Vortex","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-115",
"103","Vortex","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-116",
"104","Vortex","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-117",
"105","Amber","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-118",
"106","Amber","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-119",
"107","Amber","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-120",
"108","Crestview","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-121",
"109","Crestview","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-122",
"110","Crestview","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-123",
"111","Northwind","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-124",
"112","Northwind","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-125",
"113","Verdant","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-126",
"114","Verdant","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-127",
"115","Cosmos","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-128",
"116","Cosmos","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-129",
"117","Galeforce","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-130",
"118","Galeforce","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-131",
"119","Icebound","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-132",
"120","Icebound","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-133",
"121","Silversky","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-134",
"122","Silversky","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-135",
"123","Skyreach","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-136",
"124","Skyreach","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-137",
"125","Aulora","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-138",
"126","Aulora","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-139",
"127","Velocity","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-140",
"128","Velocity","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-141",
"129","Hollow","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-142",
"130","Hollow","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-143",
"131","Coral","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-144",
"132","Dreamweaver","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-145",
"133","Atlas","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-146",
"134","Mystic","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-147",
